id,name_,goalOfCooperation,id_office
1,Nulla Vulputate PC,transportation,1
2,Vivamus Nibh Dolor Corporation,transportation,2
3,Nunc Corp.,medical_services,3
4,Sapien Nunc LLP,medical_services,4
5,Bibendum LLC,security_services,5
6,Sagittis Semper Foundation,security_services,6
7,Diam Inc.,transportation,7
8,Tristique Aliquet Inc.,transportation,8
9,Eu Euismod Ac Limited,medical_services,9
10,Nibh Quisque Ltd,medical_services,10
11,Cursus In PC,security_services,11
12,Lorem Eu Inc.,security_services,12
13,Nec Tellus Nunc Foundation,transportation,13
14,Tellus Imperdiet Incorporated,transportation,14
15,Arcu Vestibulum Associates,medical_services,15
16,Adipiscing Non Limited,medical_services,16
17,Augue Id Ante Foundation,security_services,17
18,Eu Neque Inc.,security_services,18
19,Urna Suscipit Corporation,transportation,19
20,Enim Etiam Imperdiet Foundation,transportation,20
21,Est Congue LLC,medical_services,21
22,Quam Associates,medical_services,22
23,Consectetuer Ipsum LLP,security_services,23
24,Facilisis Magna Tellus Corporation,security_services,24
25,Nunc Associates,transportation,25
